Mímika,Maquillaje,Labios,Lipstick Blackberry,3.5g,13500,19500,Lápiz labial,mimika-lipstick-blackberry,https://www.lidherma.com.ar/thumbnails/mmika_lipstick_blackberry1_310xauto.png
Mímika,Maquillaje,Labios,Lipstick Deep Nude,3.5g,13500,19500,Lápiz labial,mimika-lipstick-deep-nude,https://www.lidherma.com.ar/thumbnails/mmika_lipstick_nude1_310xauto.png
Mímika,Maquillaje,Labios,Lipstick Ruby Red,3.5g,13500,19500,Lápiz labial,mimika-lipstick-ruby-red,https://www.lidherma.com.ar/thumbnails/mmika_lipstick_red1_310xauto.png
Mímika,Maquillaje,Labios,Lipstick Soft Nude,3.5g,13500,19500,Lápiz labial,mimika-lipstick-soft-nude,https://www.lidherma.com.ar/thumbnails/mimika_lipstick_soft_nude_310xauto.jpg
Mímika,Maquillaje,Pinceles,Pincel Eyeshadow,Unidad,14000,17500,Pincel aplicación,mimika-pincel-eyeshadow,https://www.lidherma.com.ar/thumbnails/mimika_pincel_eyeshadow_310xauto.jpg
Mímika,Maquillaje,Pinceles,Pincel Lustre,Unidad,23500,28500,Pincel aplicación,mimika-pincel-lustre,https://www.lidherma.com.ar/thumbnails/mimika_pincel_lustre_310xauto.jpg
Mímika,Maquillaje,Pinceles,Pincel Powder,Unidad,30500,37000,Pincel aplicación,mimika-pincel-powder,https://www.lidherma.com.ar/thumbnails/mimika_pincel_powder_310xauto.jpg
Mímika,Maquillaje,Pinceles,Pincel Make-up,Unidad,30500,37000,Pincel aplicación,mimika-pincel-make-up,https://www.lidherma.com.ar/thumbnails/mimika_pincel_makeup_310xauto.jpg
Mímika,Maquillaje,Pinceles,Pincel Concealer White,Unidad,18500,22500,Pincel aplicación,mimika-pincel-concealer-white,https://www.lidherma.com.ar/thumbnails/mimika_pincel_concealer_white_310xauto.jpg
Mímika,Maquillaje,Pinceles,Pincel Concealer,Unidad,11000,13500,Pincel aplicación,mimika-pincel-concealer,https://www.lidherma.com.ar/thumbnails/mimika_pincel_concealer_310xauto.jpg
Mímika,Maquillaje,Pinceles,Pincel Foundation,Unidad,17500,21500,Pincel aplicación,mimika-pincel-foundation,https://www.lidherma.com.ar/thumbnails/mimika_pincel_foundation_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Limpieza,Fórmula Higiénica,320g,26000,42000,Limpieza profunda,formulas-faciales-formula-higienica-320g,https://www.lidherma.com.ar/thumbnails/lidherma_formula_higienica3_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Limpieza,Fórmula Higiénica,50g,15500,25000,Limpieza profunda,formulas-faciales-formula-higienica-50g,https://www.lidherma.com.ar/thumbnails/lidherma_formula_higienica3_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Exfoliación,Fórmula Dermo Scrub,320g,26000,42000,Exfoliante,formulas-faciales-formula-dermo-scrub-320g,https://www.lidherma.com.ar/thumbnails/lidherma_formula_dermo_scrub1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Exfoliación,Fórmula Dermo Scrub,50g,16000,26000,Exfoliante,formulas-faciales-formula-dermo-scrub-50g,https://www.lidherma.com.ar/thumbnails/lidherma_formula_dermo_scrub1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Firmeza,Fórmula Firmosomas,320g,26500,42500,Firmeza,formulas-faciales-formula-firmosomas-320g,https://www.lidherma.com.ar/thumbnails/lidherma_formula_firmosomas_1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Firmeza,Fórmula Firmosomas,50g,19000,31500,Firmeza,formulas-faciales-formula-firmosomas-50g,https://www.lidherma.com.ar/thumbnails/lidherma_formula_firmosomas_1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Anti-age,Fórmula Peptisomas,320g,30000,48000,Péptidos,formulas-faciales-formula-peptisomas-320g,https://www.lidherma.com.ar/thumbnails/lidherma_formula_peptisomas_1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Anti-age,Fórmula Peptisomas,50g,19000,31500,Péptidos,formulas-faciales-formula-peptisomas-50g,https://www.lidherma.com.ar/thumbnails/lidherma_formula_peptisomas_1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Contorno de ojos,Fórmula Lip Care,15g,14000,23500,Cuidado labial,formulas-faciales-formula-lip-care,https://www.lidherma.com.ar/thumbnails/lidherma_formula_lip_care1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Contorno de ojos,Fórmula Lumin Eyes,30g,15500,26000,Contorno ojos,formulas-faciales-formula-lumin-eyes,https://www.lidherma.com.ar/thumbnails/lumin_eyes_nuevo_packaging_foto_adaptada1_310xauto.png
Fórmulas Faciales,Cuidado de la piel,Contorno de ojos,Fórmula Tri Silk,30g,19000,32000,Contorno ojos,formulas-faciales-formula-tri-silk,https://www.lidherma.com.ar/thumbnails/lidherma_tri_silk1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Hidratación,Fórmula ADN,320g,25000,40000,ADN,formulas-faciales-formula-adn-320g,https://www.lidherma.com.ar/thumbnails/lidherma_formula_adn_polimerizado_1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Hidratación,Fórmula ADN,50g,15000,25000,ADN,formulas-faciales-formula-adn-50g,https://www.lidherma.com.ar/thumbnails/lidherma_formula_adn_polimerizado_1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Hidratación,Fórmula Hidrosomas,320g,25500,41000,Hidratación,formulas-faciales-formula-hidrosomas-320g,https://www.lidherma.com.ar/thumbnails/lidherma_formula_hidrosomas_1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Hidratación,Fórmula Hidrosomas,50g,16000,27000,Hidratación,formulas-faciales-formula-hidrosomas-50g,https://www.lidherma.com.ar/thumbnails/lidherma_formula_hidrosomas_1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Hidratación,Fórmula Nutrisomas,320g,27000,43500,Nutrición,formulas-faciales-formula-nutrisomas-320g,https://www.lidherma.com.ar/thumbnails/lidherma_formula_nutrisomas_1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Hidratación,Fórmula Nutrisomas,50g,16500,27000,Nutrición,formulas-faciales-formula-nutrisomas-50g,https://www.lidherma.com.ar/thumbnails/lidherma_formula_nutrisomas_1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Hidratación,Fórmula Hierbas,125ml,11500,19000,Tónico hierbas,formulas-faciales-formula-hierbas-125ml,https://www.lidherma.com.ar/thumbnails/lidherma_formula_hierbas_1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Hidratación,Fórmula Hierbas,500ml,19500,31500,Tónico hierbas,formulas-faciales-formula-hierbas-500ml,https://www.lidherma.com.ar/thumbnails/lidherma_formula_hierbas_1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Mascarillas,Expert Mask Antiedad,150g,16000,26000,Mascarilla antiedad,formulas-faciales-expert-mask-antiedad,https://www.lidherma.com.ar/thumbnails/expert_mask_antiage_adaptada1_310xauto.png
Fórmulas Faciales,Cuidado de la piel,Mascarillas,Expert Mask Hidratante,150g,16000,26000,Mascarilla hidratante,formulas-faciales-expert-mask-hidratante,https://www.lidherma.com.ar/thumbnails/expert_mask_hidratante_adaptada1_310xauto.png
Fórmulas Faciales,Cuidado de la piel,Mascarillas,Expert Mask Purificante,150g,16000,26000,Mascarilla purificante,formulas-faciales-expert-mask-purificante,https://www.lidherma.com.ar/thumbnails/expert_mask_purificante_adaptada1_310xauto.png
Fórmulas Faciales,Cuidado de la piel,Mascarillas,Máscara Equilibrante,150g,13000,21500,Mascarilla equilibrante,formulas-faciales-mascara-equilibrante,https://www.lidherma.com.ar/thumbnails/lidherma_mascara_equilibrante_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Mascarillas,Mousse de Avena,250g,21500,33500,Mousse limpiadora,formulas-faciales-mousse-de-avena,https://www.lidherma.com.ar/thumbnails/lidherma_formula_mousse_de_avena1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Mascarillas,Máscara Descongestiva,150g,12000,19500,Mascarilla descongestiva,formulas-faciales-mascara-descongestiva,https://www.lidherma.com.ar/thumbnails/lidherma_mascara_descongestiva1_310xauto.jpg
Fórmulas Faciales,Cuidado de la piel,Mascarillas,Tecno Mask Liftense,22g,9500,14500,Mascarilla lifting,formulas-faciales-tecno-mask-liftense,https://www.lidherma.com.ar/thumbnails/expert_mask_tecno_mask_liftense_310xauto.jpg
Fórmulas Corporales,Cuidado de la piel,Corporal,Fórmula Masaje Celulitis,500g,22000,35500,Anticelulítico,formulas-corporales-formula-masaje-celulitis,https://www.lidherma.com.ar/thumbnails/lidherma_formula_masaje_celulitis1_310xauto.jpg
Fórmulas Corporales,Cuidado de la piel,Corporal,Fórmula Criogel,480g,19500,31500,Criogel,formulas-corporales-formula-criogel,https://www.lidherma.com.ar/thumbnails/lidherma_formula_criogel1_310xauto.jpg
Fórmulas Corporales,Cuidado de la piel,Corporal,Celluporine,500g,27000,43500,Anticelulítico,formulas-corporales-celluporine,https://www.lidherma.com.ar/thumbnails/lidherma_celluporine_crema_para_masajes1_310xauto.jpg
Fórmulas Corporales,Cuidado de la piel,Corporal,Fórmula Gel Conductor,500g,8500,13500,Gel conductor,formulas-corporales-formula-gel-conductor,https://www.lidherma.com.ar/thumbnails/lidherma_formula_gel_conductor1_310xauto.jpg
Fórmulas Corporales,Cuidado de la piel,Corporal,Fórmula Masaje Universal,500g,14000,22500,Masaje universal,formulas-corporales-formula-masaje-universal,https://www.lidherma.com.ar/thumbnails/lidherma_formula_masaje_universal1_310xauto.jpg
Fórmulas Corporales,Cuidado de la piel,Corporal,Fórmula Vitaminada,480g,24000,39500,Vitaminada,formulas-corporales-formula-vitaminada,https://www.lidherma.com.ar/thumbnails/ldh_vitaminada_con_retinol_480gr_mobile_310xauto.jpg
Fórmulas Corporales,Cuidado de la piel,Corporal,Espuma Corporal,300g,16000,27000,Espuma corporal,formulas-corporales-espuma-corporal,https://www.lidherma.com.ar/thumbnails/lidherma_formula_espuma_corporal1_310xauto.jpg
Fórmulas Corporales,Cuidado de la piel,Corporal,Fórmula Scrub Corporal,500g,23000,37000,Exfoliante corporal,formulas-corporales-formula-scrub-corporal,https://www.lidherma.com.ar/thumbnails/scrub_corporal_pro_imagen_web1_310xauto.png
Fórmulas Corporales,Cuidado de la piel,Corporal,Fórmula Masaje Reductor,500g,23000,37000,Masaje reductor,formulas-corporales-formula-masaje-reductor,https://www.lidherma.com.ar/thumbnails/masaje_reductor_nuevo_packaging_11_310xauto.png
Fórmulas Corporales,Cuidado de la piel,Corporal,Fórmula Termogel,500g,21000,34000,Termogel,formulas-corporales-formula-termogel,https://www.lidherma.com.ar/thumbnails/lidherma_formula_termogel1_310xauto.jpg
Fórmulas Corporales,Cuidado de la piel,Corporal,Fórmula Ultra Reductora,500g,36000,58000,Ultra reductora,formulas-corporales-formula-ultra-reductora-500g,https://www.lidherma.com.ar/thumbnails/ultra_reductora_pro_imagen_web1_310xauto.png
Fórmulas Corporales,Cuidado de la piel,Corporal,Fórmula Ultra Reductora,180g,17000,26000,Ultra reductora,formulas-corporales-formula-ultra-reductora-180g,https://www.lidherma.com.ar/thumbnails/ultra_reductora_ubo_imagen_web1_310xauto.png
Fórmulas Corporales,Cuidado de la piel,Corporal,Fórmula Masaje Afirmante,500g,24500,39500,Masaje afirmante,formulas-corporales-formula-masaje-afirmante,https://www.lidherma.com.ar/thumbnails/lidherma_formula_masaje_afirmante_con_dmae1_310xauto.jpg
Fórmulas Corporales,Cuidado de la piel,Corporal,Fórmula Corporal Firmeza,100ml,17000,27500,Firmeza corporal,formulas-corporales-formula-corporal-firmeza,https://www.lidherma.com.ar/thumbnails/corporal_firmeza_pro_imagen_web5_310xauto.png
Fórmulas Corporales,Cuidado de la piel,Corporal,Fórmula Corporal Reductora,100ml,17000,27500,Reductora corporal,formulas-corporales-formula-corporal-reductora,https://www.lidherma.com.ar/thumbnails/corporal_reductora_pro_imagen_web1_310xauto.png
Fórmulas Corporales,Cuidado de la piel,Corporal,Fórmula Corporal Drenante,100ml,17000,27500,Drenante corporal,formulas-corporales-formula-corporal-drenante,https://www.lidherma.com.ar/thumbnails/corporal_drenanterpro_imagen_web1_310xauto.png
Fórmulas Corporales,Cuidado de la piel,Corporal,Fórmula Corporal Estrías,100ml,17000,27500,Anti-estrías,formulas-corporales-formula-corporal-estrias,https://www.lidherma.com.ar/thumbnails/corporal_estras_pro_imagen_web3_310xauto.png
Manos,Cuidado de la piel,Manos,Intensive Care,100g,12000,18000,Crema de manos,manos-intensive-care,https://www.lidherma.com.ar/thumbnails/lidherma_formula_intensive_care1_310xauto.jpg
Peeling,Cuidado de la piel,Exfoliación,Aha's Peeling Scrub,150g,16000,24000,Exfoliante corporal,peeling-aha-s-peeling-scrub,https://www.lidherma.com.ar/thumbnails/ahas_peeling_scrub_foto_producto3_310xauto.png
Peeling,Cuidado de la piel,Exfoliación,Enzimático,100g,12000,21000,Peeling enzimático,peeling-enzimatico,https://www.lidherma.com.ar/thumbnails/enzimatico_peeling_imagen_adaptada3_310xauto.png
Peeling,Cuidado de la piel,Exfoliación,Butilresorcinol,30ml,9500,12000,Peeling químico,peeling-butilresorcinol,https://www.lidherma.com.ar/thumbnails/butilresorcinol_adaptada1_310xauto.png
Peeling,Cuidado de la piel,Exfoliación,Glicólico,30ml,9500,12000,Peeling químico,peeling-glicolico,https://www.lidherma.com.ar/thumbnails/gliclico_adaptada1_310xauto.png
Peeling,Cuidado de la piel,Exfoliación,Láctico,30ml,9500,12000,Peeling químico,peeling-lactico,https://www.lidherma.com.ar/thumbnails/lctico_adaptada1_310xauto.png
Peeling,Cuidado de la piel,Exfoliación,Mandélico,30ml,9500,12000,Peeling químico,peeling-mandelico,https://www.lidherma.com.ar/thumbnails/lidherma_formula_mandelico1_310xauto.jpg
Peeling,Cuidado de la piel,Exfoliación,Salicílico,30ml,9500,12000,Peeling químico,peeling-salicilico,https://www.lidherma.com.ar/thumbnails/saliclico_adaptada1_310xauto.png
Retinol A+,Cuidado de la piel,Anti-age,Cream,50g,25000,43000,Crema anti-edad,retinol-a-cream,https://www.lidherma.com.ar/thumbnails/lidherma_retinol_a_emulsion_cream1_310xauto.jpg
Retinol A+,Cuidado de la piel,Anti-age,Daily Cream,50g,22500,36500,Crema de día,retinol-a-daily-cream,https://www.lidherma.com.ar/thumbnails/lidherma_retinol_a_emulsion_daily_cream1_310xauto.jpg
Retinol A+,Cuidado de la piel,Anti-age,Emulsion,30ml,24000,40000,Emulsión facial,retinol-a-emulsion,https://www.lidherma.com.ar/thumbnails/emulsin_a_adaptada1_310xauto.png
Radian C,Cuidado de la piel,Despigmentante,Brightening Serum,30g,21000,34000,Serum despigmentante,radian-c-brightening-serum,https://www.lidherma.com.ar/thumbnails/lidherma_radian_c_brightening_serum1_310xauto.jpg
Radian C,Cuidado de la piel,Despigmentante,Face Mask,70g,17000,27500,Mascarilla facial,radian-c-face-mask,https://www.lidherma.com.ar/thumbnails/radian_c_face_mask_foto_final_cuadrada1_310xauto.png
Radian C,Cuidado de la piel,Corporal,Firming Body Cream,180g,20500,34000,Crema corporal,radian-c-firming-body-cream,https://www.lidherma.com.ar/thumbnails/lidherma_radian_c_firming_body_cream1_310xauto.jpg
Radian C,Cuidado de la piel,Manos,Hand Cream,50g,12500,18000,Crema de manos,radian-c-hand-cream,https://www.lidherma.com.ar/thumbnails/lidherma_radian_c_hand_cream1_310xauto.jpg
Radian C,Cuidado de la piel,Despigmentante,Lightening Face Cream,50g,24000,39500,Crema despigmentante,radian-c-lightening-face-cream,https://www.lidherma.com.ar/thumbnails/lidherma_radian_c_lightening_face_cream1_310xauto.jpg
Radian C,Cuidado de la piel,Mascarillas,Revitalizing Mask,150g,21000,33500,Mascarilla revitalizante,radian-c-revitalizing-mask,https://www.lidherma.com.ar/thumbnails/lidherma_radian_c_revitalizing_mask1_310xauto.jpg
Silver Age,Cuidado de la piel,Anti-age maduro,Day Cream,50g,22500,37500,Crema de día,silver-age-day-cream,https://www.lidherma.com.ar/thumbnails/lidherma_silver_age_day_cream1_310xauto.jpg
Silver Age,Cuidado de la piel,Anti-age maduro,Night Cream,50g,22000,36500,Crema de noche,silver-age-night-cream,https://www.lidherma.com.ar/thumbnails/lidherma_silver_age_night_cream1_310xauto.jpg
Skinbioma,Cuidado de la piel,Microbioma,Face Cream,50g,18000,29500,Crema facial,skinbioma-face-cream,https://www.lidherma.com.ar/thumbnails/skinbioma_face_mask_adaptada1_310xauto.png
Skinbioma,Cuidado de la piel,Microbioma,Face Lotion,125ml,15500,25500,Loción facial,skinbioma-face-lotion,https://www.lidherma.com.ar/thumbnails/lotion_skinbioma_adaptada1_310xauto.png
Skinbioma,Cuidado de la piel,Manos,Hand Cream,50g,9000,13500,Crema de manos,skinbioma-hand-cream,https://www.lidherma.com.ar/thumbnails/hand_cream_skinbioma_adaptada1_310xauto.png
Skinbioma,Cuidado de la piel,Limpieza,Micellar Water,190ml,12000,19000,Agua micelar,skinbioma-micellar-water,https://www.lidherma.com.ar/thumbnails/lidherma_skinbioma_micelar_water1_310xauto.jpg
Skinbioma,Cuidado de la piel,Corporal,Shower Gel,290g,14000,22500,Gel de ducha,skinbioma-shower-gel,https://www.lidherma.com.ar/thumbnails/lidherma_skinbioma_water_gel1_310xauto.jpg
Skin Color,Maquillaje,Base,BB Cream Nude,30g,17000,25000,Base BB,skin-color-bb-cream-nude,https://www.lidherma.com.ar/thumbnails/lidherma_skin_color_bb_cream_nude1_310xauto.jpg
Skin Color,Maquillaje,Base,BB Cream Beige,30g,17000,25000,Base BB,skin-color-bb-cream-beige,https://www.lidherma.com.ar/thumbnails/lidherma_skin_color_bb_cream_beige1_310xauto.jpg
Tense Complex,Cuidado de la piel,Firmeza,Face Cream,50g,26500,42000,Crema facial,tense-complex-face-cream,https://www.lidherma.com.ar/thumbnails/tense_complex_face_cream1_310xauto.jpg
Tense Complex,Cuidado de la piel,Firmeza,Serum,30ml,23500,39000,Serum facial,tense-complex-serum,https://www.lidherma.com.ar/thumbnails/tense_complex_serum1_310xauto.jpg
Vita Shield,Cuidado de la piel,Protección,Ageless Complex,50g,19000,31500,Complejo anti-age,vita-shield-ageless-complex,https://www.lidherma.com.ar/thumbnails/lidherma_vita_shield_ageless_complex1_310xauto.jpg
Vita Shield,Cuidado de la piel,Protección,Hydra Complex,50g,16500,27500,Complejo hidratante,vita-shield-hydra-complex,https://www.lidherma.com.ar/thumbnails/lidherma_vita_shield_hydra_complex1_310xauto.jpg
Dherma Sun,Solares,Post solar,Brumissage Post Solar,200g,17000,24000,Bruma post solar,dherma-sun-brumissage-post-solar,https://www.lidherma.com.ar/thumbnails/lidherma_solares_brumissage1_310xauto.jpg
Dherma Sun,Solares,Protección,UVA Plus SPF 40 Toque Seco,60g,16500,24000,Protector solar,dherma-sun-uva-plus-spf-40-toque-seco,https://www.lidherma.com.ar/thumbnails/fotoprotector_facial_toque_seco3_310xauto.png
Dherma Sun,Solares,Protección,UVA Plus SPF 40 Toque Seco color,60g,17000,25000,Protector solar con color,dherma-sun-uva-plus-spf-40-toque-seco-color,https://www.lidherma.com.ar/thumbnails/fotoprotector_facial_con_color3_310xauto.png
Dherma Sun,Solares,Protección,UVA Plus SPF 50+,100g,20500,30000,Protector solar,dherma-sun-uva-plus-spf-50-,https://www.lidherma.com.ar/thumbnails/fotoprotector_facial3_310xauto.png
Dherma Sun,Solares,Protección,UVA Plus SPF 30 spray,150g,21500,31000,Protector solar spray,dherma-sun-uva-plus-spf-30-spray,https://www.lidherma.com.ar/thumbnails/lidherma_solares_spf_30_spray1_310xauto.jpg
Dherma Sun,Solares,Autobronceante,Total Bronze,150g,21000,29500,Autobronceante,dherma-sun-total-bronze,https://www.lidherma.com.ar/thumbnails/ldh_total_bronze_150g_mobile_001_310xauto.jpg
Super,Cuidado de la piel,Tratamiento avanzado,Eye Global Repair,15g,25000,40000,Contorno de ojos,super-eye-global-repair,https://www.lidherma.com.ar/thumbnails/super_eye_global_repair_adaptada3_310xauto.png
Super,Cuidado de la piel,Tratamiento avanzado,Eyes Lash,5ml,20000,32000,Tratamiento pestañas,super-eyes-lash,https://www.lidherma.com.ar/thumbnails/super_eyes_lash_adaptada3_310xauto.png
